Borough,hour,count
Bronx,0,12
Brooklyn,0,75
Manhattan,0,12032
N/A,0,19
Queens,0,1877
Staten Island,0,1
Unknown,0,52
Bronx,1,14
Brooklyn,1,112
Manhattan,1,9942
N/A,1,17
Queens,1,526
Unknown,1,34
Bronx,2,12
Brooklyn,2,190
Manhattan,2,8045
N/A,2,20
Queens,2,348
Staten Island,2,1
Unknown,2,41
Bronx,3,5
Brooklyn,3,99
EWR,3,1
Manhattan,3,5637
N/A,3,21
Queens,3,332
Staten Island,3,1
Unknown,3,27
Bronx,4,34
Brooklyn,4,74
EWR,4,1
Manhattan,4,3262
N/A,4,12
Queens,4,240
Staten Island,4,1
Unknown,4,17
Bronx,5,70
Brooklyn,5,123
EWR,5,2
Manhattan,5,2813
N/A,5,12
Queens,5,699
Unknown,5,25
Bronx,6,67
Brooklyn,6,175
EWR,6,6
Manhattan,6,5529
N/A,6,5
Queens,6,1392
Staten Island,6,2
Unknown,6,29
Bronx,7,64
Brooklyn,7,249
EWR,7,4
Manhattan,7,10799
N/A,7,6
Queens,7,1707
Unknown,7,61
Bronx,8,83
Brooklyn,8,249
EWR,8,3
Manhattan,8,15735
N/A,8,14
Queens,8,1729
Staten Island,8,1
Unknown,8,77
Bronx,9,88
Brooklyn,9,264
EWR,9,4
Manhattan,9,18837
N/A,9,6
Queens,9,2320
Unknown,9,84
Bronx,10,79
Brooklyn,10,231
EWR,10,2
Manhattan,10,21024
N/A,10,16
Queens,10,2647
Unknown,10,83
Bronx,11,66
Brooklyn,11,241
EWR,11,2
Manhattan,11,23611
N/A,11,9
Queens,11,2326
Unknown,11,102
Bronx,12,83
Brooklyn,12,225
EWR,12,7
Manhattan,12,25869
N/A,12,22
Queens,12,2312
Unknown,12,109
Bronx,13,77
Brooklyn,13,199
EWR,13,3
Manhattan,13,26914
N/A,13,10
Queens,13,2800
Unknown,13,119
Bronx,14,65
Brooklyn,14,177
EWR,14,11
Manhattan,14,28625
N/A,14,10
Queens,14,3257
Unknown,14,123
Bronx,15,59
Brooklyn,15,165
EWR,15,12
Manhattan,15,30944
N/A,15,15
Queens,15,3479
Staten Island,15,1
Unknown,15,139
Bronx,16,60
Brooklyn,16,169
EWR,16,5
Manhattan,16,30299
N/A,16,23
Queens,16,3982
Unknown,16,122
Bronx,17,36
Brooklyn,17,132
EWR,17,7
Manhattan,17,26832
N/A,17,12
Queens,17,3028
Unknown,17,105
Bronx,18,32
Brooklyn,18,120
EWR,18,8
Manhattan,18,26960
N/A,18,13
Queens,18,2868
Unknown,18,112
Bronx,19,12
Brooklyn,19,85
EWR,19,3
Manhattan,19,22175
N/A,19,9
Queens,19,3267
Unknown,19,109
Bronx,20,5
Brooklyn,20,74
EWR,20,1
Manhattan,20,18839
N/A,20,7
Queens,20,3000
Unknown,20,93
Bronx,21,6
Brooklyn,21,52
Manhattan,21,18797
N/A,21,13
Queens,21,2676
Unknown,21,81
Bronx,22,1
Brooklyn,22,81
Manhattan,22,15612
N/A,22,5
Queens,22,2954
Unknown,22,72
Bronx,23,4
Brooklyn,23,58
EWR,23,1
Manhattan,23,10662
N/A,23,15
Queens,23,2907
Staten Island,23,1
Unknown,23,48
